Header Size:  8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Version:  2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sampling Interval:  0.3333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sampling Rate:  3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample Count:  835,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Device Serial Number:  0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Culture Info:  en-US,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample Number,Date/Time,CHANNEL0,CHANNEL1,CHANNEL2,CHANNEL3,CHANNEL4,CHANNEL5,CHANNEL6,CHANNEL7,CHANNEL8,CHANNEL9,CHANNEL10,CHANNEL11,CHANNEL12,CHANNEL13,CHANNEL14,CHANNEL15,CHANNEL16,CHANNEL17,CHANNEL18,CHANNEL19,CHANNEL20,CHANNEL21,CHANNEL22,CHANNEL23,CHANNEL24,CHANNEL25,CHANNEL26,CHANNEL27,CHANNEL28,CHANNEL29,CHANNEL30,CHANNEL31
1,09:57.5,21.4901,21.9925,22.7461,22.2895,22.0423,22.114,22.0518,22.0456,22.3825,22.333,22.2689,22.1814,22.2723,22.2174,22.9723,0.2422,-2.8328,21.9595,22.6172,22.2738,22.1447,22.0588,22.0249,21.841,22.0573,22.141,22.1852,22.0974,22.1059,22.1215,21.9957,21.7238
2,09:57.8,21.4843,22.026,22.7279,22.2729,22.0453,22.1274,22.0384,22.0079,22.3896,22.3249,22.2615,22.1532,22.2515,22.2387,23.0009,0.1323,-2.3815,21.8881,22.6054,22.3302,22.1026,22.0685,21.9953,21.854,22.0594,22.1207,22.1352,22.1427,22.1565,22.1211,21.9614,21.7349
3,09:58.2,21.4808,22.0591,22.7142,22.2655,22.0469,22.1454,22.0352,21.9596,22.3938,22.3175,22.2909,22.1442,22.2559,22.1992,22.9395,0.0795,-2.0755,21.9283,22.6507,22.2868,22.1221,22.0694,22.0651,21.863,22.0547,22.0853,22.144,22.1305,22.1644,22.0924,21.9626,21.7522
4,09:58.5,21.4778,22.0542,22.7168,22.3233,22.0358,22.1168,22.0343,22.0565,22.4167,22.3274,22.2657,22.159,22.2579,22.2202,22.9723,0.0509,-1.8569,21.9572,22.6281,22.3122,22.123,22.1004,22.0265,21.8521,22.0277,22.0511,22.1833,22.1307,22.1369,22.1116,21.9695,21.7515
5,09:58.8,21.4827,22.0304,22.6835,22.2854,22.046,22.129,22.0754,22.0452,22.3924,22.3147,22.298,22.1659,22.2496,22.2272,22.9728,0.0347,-1.6881,21.9489,22.6685,22.2946,22.144,22.0423,22.0031,21.8722,22.0057,22.1013,22.1708,22.1205,22.1524,22.103,21.9887,21.7575
6,09:59.2,21.4806,22.0491,22.6987,22.2784,22.0573,22.1202,22.0835,22.0121,22.3993,22.295,22.2865,22.153,22.2568,22.1802,22.9871,0.0245,-1.5502,21.898,22.684,22.3309,22.0948,22.0107,21.9925,21.8718,22.0279,22.1117,22.1401,22.1663,22.1591,22.1056,21.9704,21.7178
7,09:59.5,21.4822,22.0415,22.7355,22.278,22.0518,22.1403,22.1053,22.019,22.4176,22.2925,22.2992,22.1539,22.2656,22.2091,22.9906,0.0177,-1.4371,21.9054,22.6646,22.274,22.1343,22.034,21.9895,21.8824,22.0806,22.086,22.138,22.1571,22.1579,22.1372,21.9799,21.7182
8,09:59.8,21.4776,22.0332,22.6754,22.302,22.0483,22.0971,22.0993,22.026,22.4137,22.2728,22.2661,22.1056,22.2522,22.2297,22.9968,0.0122,-1.3397,21.9198,22.6336,22.3614,22.1193,22.1129,21.9673,21.8593,22.0277,22.0629,22.1338,22.1372,22.1711,22.1199,21.9843,21.7381
9,10:00.2,21.4806,22.0149,22.705,22.3006,22.0603,22.1524,22.0784,22.0727,22.4269,22.2534,22.2721,22.159,22.2529,22.2239,22.9838,0.0099,-1.2582,21.9415,22.6463,22.3207,22.092,22.0629,22.0094,21.8438,22.0376,22.0594,22.1202,22.1585,22.176,22.1252,21.9885,21.7349
10,10:00.5,21.4843,22.0477,22.7161,22.2888,22.0862,22.1427,22.0708,22.0438,22.4067,22.2722,22.2694,22.1234,22.2603,22.2558,22.955,0.009,-1.187,21.9392,22.6729,22.3249,22.0996,22.0551,21.9828,21.8553,22.0314,22.111,22.1401,22.1222,22.176,22.1497,21.9836,21.742
11,10:00.8,21.4866,22.0297,22.7482,22.2956,22.0587,22.1154,22.0796,22.0366,22.401,22.2733,22.2707,22.1359,22.2767,22.2581,22.994,0.0087,-1.1246,21.9836,22.6743,22.3492,22.0952,22.0255,22.0027,21.8516,22.0247,22.0902,22.1287,22.149,22.1565,22.1338,21.9957,21.7178
12,10:01.2,21.4896,22.0033,22.6895,22.3182,22.0784,22.132,22.0525,22.0065,22.3852,22.2937,22.2948,22.1333,22.2589,22.2276,22.9596,0.0087,-1.0723,21.9281,22.6112,22.2988,22.1188,22.022,22.0404,21.8614,22.0321,22.0615,22.1093,22.1462,22.1484,22.1241,22.0072,21.7337
13,10:01.5,21.4859,22.0359,22.6937,22.3332,22.0661,22.1038,22.0437,22.01,22.3686,22.3179,22.292,22.1208,22.2207,22.2482,22.9908,0.0074,-1.0272,22.0042,22.6385,22.3443,22.0878,22.1506,22.0658,21.8442,22.0175,22.0747,22.1114,22.155,22.1753,22.1201,21.9989,21.7594
14,10:01.8,21.4906,22.0295,22.7348,22.3841,22.0657,22.1336,22.0546,22.0121,22.3413,22.3073,22.2721,22.1063,22.242,22.1976,22.9624,0.0071,-0.9865,21.9473,22.6436,22.3187,22.1209,22.0548,22.0452,21.8519,21.9898,22.0775,22.1724,22.1307,22.1491,22.1144,21.9896,21.898
15,10:02.2,21.4938,22.0163,22.7145,22.2851,22.0853,22.1484,22.0555,22.0336,22.3489,22.3119,22.2416,22.0565,22.229,22.2304,23.0305,0.0066,-0.9523,21.9686,22.6353,22.29,22.1262,22.077,21.9955,21.8509,21.9699,22.0851,22.1636,22.1323,22.1378,22.1467,22.0028,21.8693
16,10:02.5,21.498,21.9885,22.6361,22.3332,22.0594,22.136,22.093,22.0287,22.3839,22.3318,22.2351,22.1361,22.2383,22.2114,22.9661,0.0057,-0.9202,21.966,22.6281,22.3647,22.089,22.0863,21.9779,21.8505,22.0078,22.1346,22.1403,22.1622,22.1336,22.1296,22.0091,21.8589
17,10:02.8,21.4943,21.9904,22.7034,22.3453,22.0645,22.1773,22.1069,22.022,22.3707,22.326,22.2257,22.1819,22.2769,22.2121,22.945,0.0058,-0.8943,21.982,22.6376,22.3083,22.0814,22.0636,21.9929,21.8475,22.0319,22.1406,22.1542,22.1427,22.1158,22.1391,22.0116,21.8367
18,10:03.2,21.5003,22.0188,22.6652,22.306,22.0499,22.1424,22.0944,22.0318,22.3843,22.3295,22.2206,22.1743,22.2683,22.2091,23.0137,0.0063,-0.8709,21.9378,22.675,22.3617,22.1503,22.0114,22.0151,21.8403,22.0531,22.1427,22.1257,22.1587,22.1586,22.1437,22.0123,21.8616
19,10:03.5,21.4982,22.014,22.699,22.303,22.061,22.1473,22.0576,21.9589,22.3494,22.2654,22.2257,22.1604,22.2818,22.2216,22.9862,0.0059,-0.8506,21.9359,22.6549,22.3439,22.1285,22.0396,22.0045,21.8868,22.051,22.0865,22.1317,22.1564,22.1778,22.1319,22.0185,21.8609
20,10:03.8,21.4991,22.0475,22.7392,22.2706,22.0539,22.12,22.0544,22.0227,22.4312,22.2301,22.2192,22.1039,22.2637,22.2006,23.0137,0.0059,-0.8331,21.9207,22.6826,22.3503,22.1087,22.0516,22.0293,21.8734,22.0443,22.0837,22.135,22.0965,22.1468,22.1322,21.9996,21.8582
21,10:04.2,21.4926,21.9828,22.6902,22.3256,22.0647,22.1619,22.0752,22.0493,22.3936,22.2541,22.2654,22.1236,22.2485,22.1626,22.9894,0.0059,-0.8177,21.9346,22.5911,22.3217,22.1052,22.0474,22.0332,21.8477,22.0009,22.0798,22.1155,22.149,22.139,22.1273,21.9933,21.7737
22,10:04.5,21.4903,21.9788,22.7299,22.306,22.0647,22.1413,22.0715,22.0253,22.3318,22.2407,22.2499,22.1389,22.2279,22.207,22.96,0.0052,-0.8025,21.9341,22.6521,22.2768,22.1075,22.0694,22.0235,21.813,22.0166,22.0842,22.1396,22.1245,22.1843,22.1449,21.9744,21.7455
23,10:04.8,21.501,22.0507,22.7514,22.3103,22.0775,22.1168,22.0733,22.0137,22.3922,22.2539,22.2391,22.1308,22.2436,22.1902,23.0416,0.0054,-0.7846,21.9692,22.6355,22.3663,22.1653,22.0465,22.0017,21.8264,22.0302,22.0964,22.1262,22.1377,22.145,22.1631,21.9788,21.7307
24,10:05.2,21.4915,22.0447,22.6597,22.2817,22.0719,22.1332,22.0912,22.0604,22.4243,22.2548,22.2828,22.1188,22.2429,22.2313,22.9776,0.0054,-0.7633,21.9621,22.6244,22.3425,22.1251,22.034,22.0064,21.8493,22.0145,22.0886,22.1294,22.1349,22.1637,22.125,21.9855,21.7652
25,10:05.5,21.4975,22.0748,22.6756,22.3041,22.0546,22.1563,22.1034,22.0507,22.3977,22.2479,22.2411,22.1278,22.2485,22.2158,22.9704,0.0041,-0.7207,21.9519,22.6385,22.317,22.1415,22.0354,22.004,21.8345,22.0254,22.0828,22.1324,22.173,22.1244,22.1451,21.9915,21.7814
26,10:05.8,21.4931,22.0211,22.7124,22.2914,22.0483,22.1251,22.0879,22.0435,22.3906,22.2856,22.2735,22.1234,22.2526,22.2202,22.9647,0.0051,-0.6342,21.9482,22.6796,22.336,22.1262,22.0724,21.9846,21.8408,21.9687,22.0726,22.1125,22.1793,22.1901,22.1366,22.0102,21.7932
27,10:06.2,21.4936,22.0211,22.7249,22.2895,22.064,22.1103,22.078,22.0392,22.403,22.3295,22.3061,22.1451,22.2591,22.2258,22.9637,0.0052,-0.6875,21.9746,22.5962,22.3071,22.0969,22.0562,22.1016,21.8775,22.0092,22.046,22.1056,22.1543,22.1764,22.128,21.9929,21.8304
