Header Size:  8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Version:  2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sampling Interval:  0.3333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sampling Rate:  3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample Count:  2991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Device Serial Number:  0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Culture Info:  en-US,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample Number,Date/Time,CHANNEL0,CHANNEL1,CHANNEL2,CHANNEL3,CHANNEL4,CHANNEL5,CHANNEL6,CHANNEL7,CHANNEL8,CHANNEL9,CHANNEL10,CHANNEL11,CHANNEL12,CHANNEL13,CHANNEL14,CHANNEL15,CHANNEL16,CHANNEL17,CHANNEL18,CHANNEL19,CHANNEL20,CHANNEL21,CHANNEL22,CHANNEL23,CHANNEL24,CHANNEL25,CHANNEL26,CHANNEL27,CHANNEL28,CHANNEL29,CHANNEL30,CHANNEL31
1,06:05.9,22.3374,21.8427,22.705,22.5344,22.1023,22.2045,22.0554,22.1547,22.6245,22.3036,22.4793,22.3333,22.5839,22.0743,22.9272,0.0945,-2.5128,21.8543,22.7145,22.4881,22.3364,22.4301,22.3407,22.1106,22.1385,22.3163,22.4801,22.1949,22.3539,22.1983,22.1499,22.283
2,06:06.2,22.3367,21.8439,22.699,22.5193,22.1055,22.2006,22.0667,22.1449,22.6268,22.3122,22.486,22.3296,22.5828,22.0868,22.9252,0.0627,-2.2102,21.8465,22.7122,22.4823,22.3311,22.4331,22.3338,22.1088,22.147,22.3165,22.4801,22.1769,22.3446,22.1979,22.1562,22.2788
3,06:06.5,22.3393,21.8462,22.6969,22.5219,22.0949,22.2087,22.0651,22.1267,22.6254,22.3147,22.4941,22.3243,22.5793,22.0942,22.936,0.0441,-1.9637,21.8513,22.7131,22.4823,22.3267,22.4356,22.3372,22.1072,22.1341,22.3087,22.4785,22.1686,22.3351,22.1884,22.1474,22.3045
4,06:06.9,22.3434,21.8374,22.7064,22.5101,22.0977,22.2154,22.0593,22.1218,22.6363,22.3177,22.4927,22.31,22.5823,22.1037,22.9291,0.033,-1.7654,21.8574,22.711,22.4779,22.3211,22.4398,22.3352,22.1056,22.1459,22.3151,22.4817,22.1841,22.3381,22.1866,22.1379,22.3167
5,06:07.2,22.337,21.8404,22.7034,22.4865,22.0956,22.2013,22.0661,22.1052,22.6303,22.3219,22.4964,22.3003,22.5765,22.1081,22.9298,0.0272,-1.5992,21.8555,22.709,22.4874,22.3341,22.4363,22.3285,22.1023,22.1338,22.3309,22.4785,22.1931,22.3418,22.1942,22.1104,22.3191
6,06:07.5,22.333,21.8399,22.7038,22.4777,22.0845,22.2024,22.0577,22.0966,22.6333,22.3219,22.4876,22.2859,22.5816,22.1175,22.9305,0.0227,-1.461,21.8486,22.7173,22.4848,22.3366,22.4393,22.3294,22.0945,22.1336,22.3309,22.4725,22.2049,22.3409,22.1808,22.1046,22.3362
7,06:07.9,22.3432,21.8367,22.7047,22.4645,22.1016,22.1976,22.0605,22.0925,22.6303,22.3265,22.4987,22.2961,22.5791,22.1314,22.9321,0.0198,-1.3435,21.8502,22.7168,22.4895,22.3491,22.4437,22.3197,22.1002,22.1216,22.3288,22.476,22.216,22.346,22.1919,22.1108,22.353
8,06:08.2,22.3483,21.8335,22.6971,22.446,22.0937,22.1987,22.0637,22.0968,22.6257,22.3251,22.4978,22.2998,22.5865,22.1277,22.9349,0.0145,-1.2438,21.8493,22.7247,22.4895,22.3486,22.434,22.3187,22.0905,22.1114,22.3223,22.475,22.2058,22.3539,22.1824,22.1111,22.3646
9,06:08.5,22.3478,21.8328,22.6976,22.4317,22.0919,22.2082,22.055,22.0908,22.6143,22.332,22.4999,22.3014,22.571,22.1319,22.9362,0.0156,-1.1575,21.8472,22.7182,22.5036,22.2793,22.4227,22.3148,22.0891,22.0753,22.3272,22.4727,22.1758,22.3663,22.1856,22.1057,22.384
10,06:08.9,22.3508,21.8374,22.696,22.422,22.0951,22.2073,22.0526,22.0876,22.5968,22.3283,22.4915,22.3125,22.5624,22.1326,22.9346,0.0164,-1.0809,21.8456,22.7164,22.5147,22.2541,22.4181,22.3155,22.0896,22.0573,22.3228,22.473,22.1573,22.377,22.1831,22.1226,22.412
