Header Size:  8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Version:  2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sampling Interval:  0.3333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sampling Rate:  3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample Count:  449,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Device Serial Number:  0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Culture Info:  en-US,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample Number,Date/Time,CHANNEL0,CHANNEL1,CHANNEL2,CHANNEL3,CHANNEL4,CHANNEL5,CHANNEL6,CHANNEL7,CHANNEL8,CHANNEL9,CHANNEL10,CHANNEL11,CHANNEL12,CHANNEL13,CHANNEL14,CHANNEL15,CHANNEL16,CHANNEL17,CHANNEL18,CHANNEL19,CHANNEL20,CHANNEL21,CHANNEL22,CHANNEL23,CHANNEL24,CHANNEL25,CHANNEL26,CHANNEL27,CHANNEL28,CHANNEL29,CHANNEL30,CHANNEL31
1,22:57.1,22.0482,22.217,22.9702,22.6105,22.3242,22.3029,22.2976,22.1737,22.6353,22.516,22.4926,22.3887,22.5057,22.4173,23.2069,0.1256,-2.4111,22.2104,22.9619,22.5155,22.3525,22.3035,22.2616,22.1686,22.3137,22.3544,22.4045,22.4009,22.3827,22.2249,22.243,22.2473
2,22:57.5,22.0533,22.2131,22.9649,22.5726,22.3135,22.3038,22.284,22.1471,22.6196,22.5361,22.4921,22.4153,22.5117,22.4154,23.2007,0.0756,-2.0862,22.2277,22.9552,22.5261,22.3458,22.2841,22.2514,22.173,22.3029,22.3833,22.4158,22.4062,22.3938,22.3536,22.1958,22.257
3,22:57.8,22.0487,22.2105,22.9556,22.6061,22.3112,22.308,22.2641,22.1578,22.6344,22.5248,22.4847,22.4174,22.5029,22.4053,23.1845,0.0483,-1.8429,22.2129,22.9652,22.5236,22.3481,22.2793,22.2481,22.1661,22.3167,22.3833,22.4075,22.3991,22.3829,22.3701,22.2243,22.2581
4,22:58.1,22.0609,22.2239,22.9799,22.6017,22.338,22.3024,22.269,22.1668,22.6471,22.5153,22.4914,22.4141,22.504,22.4127,23.2023,0.0317,-1.6582,22.2039,22.928,22.5086,22.3469,22.2504,22.2636,22.1594,22.2867,22.3884,22.4038,22.4,22.4014,22.3259,22.2268,22.2537
5,22:58.5,22.054,22.2105,22.9473,22.5708,22.3209,22.3027,22.2704,22.1548,22.6402,22.5104,22.4949,22.4093,22.508,22.4168,23.2058,0.0213,-1.5114,22.2236,22.9416,22.5305,22.3654,22.2291,22.2581,22.1598,22.292,22.3838,22.4184,22.3993,22.3982,22.3268,22.2363,22.2526
6,22:58.8,22.0473,22.226,22.9716,22.5714,22.32,22.3008,22.2611,22.167,22.63,22.5109,22.4889,22.357,22.5096,22.4087,23.1972,0.0153,-1.3892,22.2335,22.934,22.5215,22.3582,22.2904,22.2648,22.1219,22.3163,22.3884,22.4101,22.3841,22.3956,22.3183,22.234,22.2505
7,22:59.1,22.0551,22.2461,22.9891,22.5992,22.326,22.3161,22.269,22.164,22.6321,22.5116,22.5014,22.3834,22.5098,22.4148,23.1977,0.0111,-1.2881,22.2335,22.9645,22.5062,22.3582,22.3188,22.2516,22.1353,22.3364,22.3796,22.4131,22.3982,22.3885,22.2806,22.2226,22.248
8,22:59.5,22.0535,22.2334,22.9877,22.5567,22.3438,22.2941,22.2812,22.1666,22.6392,22.5158,22.4882,22.3924,22.514,22.4134,23.2254,0.0088,-1.1986,22.2275,22.9622,22.5395,22.3589,22.3324,22.2539,22.1728,22.3329,22.3743,22.4078,22.3912,22.3875,22.3125,22.2215,22.2574
9,22:59.8,22.0542,22.2168,22.9713,22.6047,22.3149,22.3036,22.2768,22.1483,22.6452,22.519,22.4919,22.3194,22.5158,22.4194,23.2236,0.0076,-1.1241,22.237,22.982,22.5183,22.3656,22.3345,22.2634,22.1746,22.3265,22.3373,22.4057,22.3711,22.3875,22.2859,22.2354,22.2574
10,23:00.1,22.066,22.2242,22.9632,22.6177,22.3422,22.3068,22.2747,22.1594,22.6418,22.516,22.4861,22.4118,22.5064,22.4129,23.2023,0.0065,-1.057,22.2095,22.973,22.5224,22.3522,22.3442,22.2676,22.1721,22.311,22.3464,22.4145,22.3792,22.3968,22.2785,22.2349,22.256
