Header Size:  8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Version:  2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sampling Interval:  0.3333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sampling Rate:  3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample Count:  976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Device Serial Number:  0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Culture Info:  en-US,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample Number,Date/Time,CHANNEL0,CHANNEL1,CHANNEL2,CHANNEL3,CHANNEL4,CHANNEL5,CHANNEL6,CHANNEL7,CHANNEL8,CHANNEL9,CHANNEL10,CHANNEL11,CHANNEL12,CHANNEL13,CHANNEL14,CHANNEL15,CHANNEL16,CHANNEL17,CHANNEL18,CHANNEL19,CHANNEL20,CHANNEL21,CHANNEL22,CHANNEL23,CHANNEL24,CHANNEL25,CHANNEL26,CHANNEL27,CHANNEL28,CHANNEL29,CHANNEL30,CHANNEL31,Events
1,40:15.4,21.2511,21.275,22.2557,21.7664,21.6653,21.509,21.6784,21.427,21.9931,21.7656,21.7883,21.5566,21.8212,21.5361,22.6212,0.1485,-3.0221,21.5168,22.3607,21.9312,21.7995,21.6797,21.6661,21.3478,21.5254,21.4933,21.5743,21.4556,21.7546,21.4939,21.6582,21.6561,
2,40:15.8,21.2587,21.273,22.2546,21.7639,21.6674,21.5086,21.68,21.4362,21.9901,21.7585,21.7934,21.5607,21.8184,21.5438,22.6205,0.1482,-2.4932,21.5166,22.3556,21.9337,21.7995,21.6774,21.659,21.3434,21.5288,21.4952,21.575,21.4489,21.7521,21.4937,21.658,21.6531,
3,40:16.1,21.2568,21.2827,22.262,21.7583,21.6627,21.5046,21.6731,21.4388,21.989,21.7629,21.7843,21.5691,21.8214,21.5459,22.6265,0.1481,-2.1359,21.5127,22.3542,21.9224,21.7905,21.6723,21.6578,21.3415,21.5219,21.4995,21.5762,21.4464,21.756,21.489,21.6543,21.6483,
4,40:16.4,21.2582,21.2912,22.2643,21.7579,21.6741,21.5079,21.6766,21.4402,21.9943,21.7629,21.7998,21.5772,21.8283,21.5519,22.6281,0.1478,-1.8665,21.5138,22.3558,21.9249,21.79,21.66,21.6629,21.3411,21.5261,21.506,21.5685,21.4316,21.7514,21.5036,21.6571,21.6411,
5,40:16.8,21.2612,21.2885,22.268,21.7639,21.6692,21.5072,21.6752,21.4413,21.9853,21.767,21.7982,21.5836,21.8216,21.5503,22.627,0.1476,-1.6525,21.5187,22.365,21.9235,21.781,21.6651,21.6502,21.3381,21.5161,21.4982,21.5641,21.4369,21.7588,21.5036,21.6531,21.6256,
6,40:17.1,21.2603,21.297,22.2603,21.7556,21.6597,21.516,21.674,21.4459,21.9707,21.7612,21.7915,21.5811,21.8126,21.5503,22.6277,0.1474,-1.4771,21.5191,22.3577,21.9252,21.7919,21.654,21.6411,21.3401,21.523,21.5002,21.5713,21.4422,21.756,21.5122,21.6562,21.6152,
7,40:17.4,21.2643,21.3,22.2724,21.757,21.6736,21.5067,21.6798,21.4376,21.9746,21.7626,21.789,21.585,21.8235,21.5459,22.6344,0.1468,-1.3299,21.5161,22.3646,21.9312,21.7898,21.6485,21.6476,21.3371,21.5143,21.4963,21.569,21.441,21.7581,21.5103,21.6575,21.624,
8,40:17.8,21.2589,21.2986,22.2735,21.7479,21.6685,21.5104,21.6724,21.4416,21.9795,21.7712,21.7989,21.5885,21.8205,21.5468,22.6258,0.146,-1.2053,21.5187,22.356,21.9247,21.7824,21.6494,21.6497,21.3364,21.517,21.4963,21.5757,21.4334,21.7632,21.5064,21.6541,21.6085,
9,40:18.1,21.2578,21.2991,22.2717,21.7421,21.669,21.5083,21.6729,21.4402,21.9769,21.7691,21.7915,21.5897,21.8274,21.5401,22.6267,0.1451,-1.0985,21.5194,22.3637,21.9229,21.7845,21.6506,21.652,21.3425,21.5131,21.497,21.5732,21.4542,21.7592,21.5112,21.6559,21.608,
10,40:18.4,21.2677,21.2952,22.2742,21.7408,21.6653,21.5153,21.6768,21.4434,21.986,21.7668,21.7975,21.5873,21.8221,21.5456,22.6277,0.144,-1.0064,21.5182,22.3627,21.9249,21.7898,21.6473,21.6439,21.3383,21.5235,21.497,21.5685,21.4596,21.762,21.514,21.6631,21.6198,
