Header Size:  8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Version:  2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sampling Interval:  0.3333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sampling Rate:  3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample Count:  506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Device Serial Number:  0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Culture Info:  en-US,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample Number,Date/Time,CHANNEL0,CHANNEL1,CHANNEL2,CHANNEL3,CHANNEL4,CHANNEL5,CHANNEL6,CHANNEL7,CHANNEL8,CHANNEL9,CHANNEL10,CHANNEL11,CHANNEL12,CHANNEL13,CHANNEL14,CHANNEL15,CHANNEL16,CHANNEL17,CHANNEL18,CHANNEL19,CHANNEL20,CHANNEL21,CHANNEL22,CHANNEL23,CHANNEL24,CHANNEL25,CHANNEL26,CHANNEL27,CHANNEL28,CHANNEL29,CHANNEL30,CHANNEL31,Events
1,37:22.4,21.2157,21.312,22.2596,21.7483,21.6234,21.5675,21.6571,21.4579,22.0737,21.7632,21.9172,21.5616,22.0184,21.5639,22.4101,0.1262,-1.7834,21.3843,22.2016,21.6853,21.714,21.6224,21.7722,21.4705,-9999,21.5438,21.8305,21.6593,21.8007,21.6458,21.6676,21.62,
2,37:22.8,21.2214,21.3174,22.2792,21.7516,21.6368,21.5835,21.6795,21.4572,22.0707,21.7679,21.9135,21.5609,22.0166,21.5685,22.4147,0.1263,-1.3947,21.3945,22.1979,21.6964,21.717,21.6234,21.7736,21.4761,-9999,21.5433,21.8531,21.6632,21.7984,21.643,21.6748,21.62,
3,37:23.1,21.2212,21.3125,22.2725,21.759,21.6331,21.5786,21.6691,21.4579,22.074,21.7642,21.9175,21.5512,22.0325,21.5761,22.4239,0.1264,-1.366,21.3908,22.2071,21.698,21.7166,21.6278,21.7717,21.4754,-9999,21.5459,21.8485,21.6588,21.7977,21.6469,21.6787,21.623,
4,37:23.4,21.2159,21.3132,22.2788,21.7557,21.6312,21.5865,21.6772,21.46,22.0724,21.7741,21.9189,21.5542,22.0288,21.5699,22.4193,0.1266,-1.4068,21.395,22.2076,21.7017,21.7191,21.6328,21.778,21.4763,-9999,21.5493,21.8577,21.6667,21.8084,21.652,21.672,21.6646,
5,37:23.8,21.2233,21.309,22.2764,21.7504,21.634,21.5886,21.6747,21.466,22.0754,21.778,21.9237,21.5523,22.0253,21.5757,22.4216,0.1271,-1.4518,21.391,22.2201,21.6978,21.7096,21.6319,21.7812,21.4791,-9999,21.5553,21.8571,21.6625,21.8019,21.6467,21.6806,21.6912,
6,37:24.1,21.217,21.3195,22.2781,21.7594,21.6453,21.5932,21.6798,21.4628,22.0788,21.7723,21.9214,21.5496,22.0411,21.5653,22.4219,0.1275,-1.4775,21.3945,22.2138,21.7108,21.7228,21.6391,21.7782,21.4826,-9999,21.5665,21.8598,21.6646,21.8072,21.6472,21.6769,21.7153,
7,37:24.4,21.2332,21.3123,22.2695,21.7567,21.6338,21.5906,21.6825,21.4535,22.0749,21.7711,21.9152,21.5503,22.033,21.5666,22.4369,0.128,-1.4767,21.3964,22.2175,21.7071,21.7177,21.6342,21.7743,21.4784,-9999,21.5634,21.8561,21.6614,21.8007,21.6474,21.6769,21.6984,
8,37:24.8,21.2265,21.3109,22.2716,21.7537,21.6386,21.5874,21.6765,21.4656,22.0754,21.7729,21.9253,21.556,22.0344,21.5641,22.436,0.1283,-1.4469,21.3975,22.2101,21.7001,21.7152,21.637,21.7747,21.4802,-9999,21.5567,21.8582,21.66,21.7991,21.6472,21.6873,21.6852,
9,37:25.1,21.2312,21.3169,22.2725,21.7587,21.634,21.5948,21.6749,21.4591,22.071,21.7704,21.9163,21.5466,22.0295,21.556,22.4306,0.1287,-1.3819,21.4028,22.2196,21.7027,21.7214,21.6342,21.7817,21.4779,-9999,21.5597,21.8536,21.6577,21.8051,21.6467,21.6854,21.6808,
10,37:25.4,21.2268,21.319,22.2637,21.7569,21.6384,21.6008,21.6767,21.4612,22.0721,21.7674,21.92,21.5463,22.0401,21.5585,22.4297,0.1289,-1.2816,21.3968,22.2147,21.7022,21.7221,21.6354,21.772,21.474,-9999,21.5602,21.8568,21.6542,21.7952,21.6467,21.6852,21.6762,
